MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.06484100706794398,0.0832935270063369,0.06329882867237963,0.06153576178074083,0.050009061713515254,0.04898948638549778,0.048939941653013574,0.05527193591280362,0.050859012848296525,0.045348276312971024,0.0550068955552478,0.08938279806278043,0.07445117730197681,0.07972514880173412,0.07610584001485929,0.0600954775025455
03-08,0.06589502446709543,0.08447890152422383,0.06405752908166784,0.06283153960348174,0.050925220963184824,0.04867322108433158,0.04843924128888942,0.05592705272954783,0.05060208484949118,0.045519181434881276,0.056280848329735775,0.0904583750969237,0.07619814226654978,0.0809504163151535,0.07739737208980105,0.06130987056820622
03-13,0.06486173428584366,0.08341215946903224,0.06395878015030974,0.06326973166953648,0.05167751833627987,0.048488898719280527,0.047816587920598896,0.05567371082630615,0.049912050161514995,0.045445969623162996,0.056935568066439075,0.08923017330786688,0.0765798307449518,0.08059802005762397,0.07766431161130595,0.061320847721313944
03-18,0.06537342594595219,0.08356916539471274,0.06486658670460577,0.0644010302799595,0.05187614123413327,0.047942543467765775,0.047017073002127346,0.0553032215626115,0.049021151340850624,0.044825801925267555,0.057295215468705044,0.08940490809574612,0.07737744204415081,0.0806129818015652,0.07826945013739653,0.0615879465374692
03-23,0.06771873307468583,0.08554937055736388,0.0662700016889905,0.06552772888507202,0.05130378165383547,0.0465412492215745,0.04554895456332448,0.05436276599339078,0.046988617878423525,0.04325754417731613,0.05577253049802315,0.09173373522836038,0.07808133968407625,0.08100187480497435,0.07843913189932013,0.061991743312652794
03-28,0.06984617214383049,0.0885682604075613,0.0688490281515394,0.06693551670300504,0.0498471745317078,0.04389907721369175,0.043457136608310104,0.0528716019246065,0.044100174448513496,0.03982895255065425,0.05105699909154358,0.09533903935299802,0.07902399680632158,0.08164860122954325,0.07904794619348782,0.062129777255553076
04-02,0.07083305116328703,0.09057419967583767,0.0724152351543194,0.06909907640223542,0.047723281248665504,0.04160225020211955,0.041862954696909455,0.05194374783691425,0.04282416564539725,0.03853320831956315,0.046974958615888025,0.09817999911944288,0.08033429505120318,0.08261196910420718,0.08059746507731372,0.0625064818521863
04-07,0.07335415383777259,0.09323499444392463,0.07669014594069386,0.07261843330310876,0.04507271270699233,0.04061900788154775,0.04114397452112035,0.051354870373303926,0.04298324368350225,0.038248817937975604,0.0436672836482927,0.10031019690870084,0.0829541327888148,0.08531096806853976,0.08362303895808831,0.0645437612039139
04-12,0.07821962269123987,0.0977597220506488,0.08205276409189903,0.07825051212224494,0.04310936952757107,0.04150374663157018,0.04143378771707905,0.05238247056562567,0.04493781697005428,0.039439347087860996,0.042595948638824654,0.10421074764375617,0.087654616589376,0.09069698498406382,0.0888268690911476,0.06870131754871797
04-17,0.08440389666266418,0.1032011332257965,0.08732411609135493,0.08498492497547752,0.0434808842014556,0.044669314866446555,0.043399123152211075,0.054392585862067425,0.04854730581268917,0.04158855471372437,0.0441818685119284,0.10737619421680217,0.09396208449437998,0.09843412066572094,0.09620014967492757,0.07596481203108597
04-22,0.0911130522717507,0.10874486844924285,0.09243548223157097,0.09196960251817037,0.04603615084924695,0.0500352776823687,0.04709568126469507,0.05696201279702243,0.05366398787050125,0.04427899017532047,0.0476197528108155,0.10844155963156908,0.10099942700986685,0.1071268133442929,0.10504132755191989,0.08585709013146905
04-27,0.09699500600259048,0.11314283995653278,0.09685498025018793,0.0978027072630631,0.04844889751358052,0.055832755871546305,0.051144432263242126,0.058057516242350296,0.05850823621831405,0.04635955198373925,0.050365572957744,0.10686981636174345,0.10692198384224198,0.1143710977565224,0.1136594471496432,0.09606681773781812
05-02,0.1011170719460965,0.115069378451809,0.0991447735445471,0.10133991887227492,0.05205231041827113,0.06303732117710929,0.05611517863177943,0.05761255861855642,0.0628583513832991,0.047916104768544396,0.051996151092016496,0.10294159874320385,0.11012235291032284,0.1188173503223294,0.12065116181325262,0.10527035561277705
05-07,0.10465803117830293,0.11613520135802967,0.10036106461198951,0.10385126155039542,0.05795120419733238,0.07224872234656442,0.06259965768580862,0.05673914224793005,0.06828403602443045,0.049528646747349074,0.0530407544991299,0.10015417919979727,0.1117829455308179,0.12100382088410083,0.12588446373689224,0.11300858264615929
05-12,0.10839956659749367,0.11714511957605855,0.09976596665173572,0.1054963826047198,0.06678038923765098,0.08365703632487763,0.07061429182575672,0.05673702458280165,0.07601336697627986,0.05201800649587755,0.0553026981518973,0.10142601688558175,0.11060561765577118,0.11932637031619694,0.12773256847989553,0.11749418343972763
05-17,0.1115413780123041,0.11778601809708666,0.09681306916034539,0.10577136722017785,0.07673612448220955,0.09593153954106612,0.0793133714606711,0.057503850189638744,0.0858011622229753,0.055643447980478225,0.05875337191924638,0.10790200325437653,0.10693750056344294,0.11394067401302807,0.12659688176695677,0.11886801639532728
05-22,0.11363276052669831,0.1178854758428056,0.09244302686421112,0.10446155806379756,0.08449197390957428,0.10503315570956931,0.0861797539415439,0.058264736780400575,0.09542390550607659,0.060123731991377174,0.06217410172023007,0.11835529379353549,0.10116978870552455,0.10545768475103474,0.12247197276496045,0.11755864360539213
05-27,0.11556369958412491,0.11733579662376428,0.0879442306095579,0.1027239908508743,0.09001429336458272,0.11043237253166993,0.09126797791342653,0.060321674627983296,0.10318449579103275,0.06802102523579084,0.06645478029461968,0.12706451498199844,0.0952715873797724,0.09723960231242298,0.1173706506091971,0.11584305017922658
06-01,0.11668539463399343,0.11410062403419677,0.08350876009344993,0.10051751338199155,0.09482148678896173,0.11323522497478501,0.09554646940988727,0.06391122146471845,0.10873734747456135,0.07906170663957778,0.07058685789969057,0.1311828465089284,0.09173759227258489,0.09259561385174153,0.11335356757002879,0.11511874873668528
06-06,0.11691641277454719,0.10836227364419015,0.0796606070428412,0.09778645785699891,0.09873640298786887,0.1142074754958915,0.09920234705672148,0.06834557673035377,0.11300196626895978,0.09188600143630693,0.07529165848415917,0.13154235213465496,0.09086129774283862,0.09130718093672695,0.11134302172441296,0.1151229342478445
06-11,0.11538785560110351,0.09962756384880866,0.07646542782212296,0.09429534377718915,0.10227186936218115,0.1140367654697336,0.10266259611632515,0.07386706641732824,0.1166473354696884,0.10434447114047421,0.08142226405880018,0.1293928509757493,0.09252199822046622,0.09277927060348662,0.11160338244493911,0.1155085118325843
06-16,0.11222290457074438,0.08581375885442491,0.0731016212201574,0.08875902132013573,0.10444311556262831,0.11139496645129507,0.1041721068665952,0.07875765309480684,0.11740934615470605,0.11301018251954202,0.08670162310492298,0.1237145647410832,0.09314400671260142,0.09299161550489862,0.11163988103040576,0.1149686021757538
06-21,0.09910233003190083,0.06520541997205287,0.06685813339829538,0.07840948067189156,0.10320381824968794,0.10591609700952517,0.10015434761588245,0.0829189457259724,0.11188955950258243,0.11650811858800936,0.08822110816300342,0.10798468320886052,0.08915514028515682,0.08865596211107316,0.1068384670362385,0.11109470041803257
06-26,0.08654320010598905,0.04963792977304012,0.06020281769609277,0.06863927269177285,0.0993895877418746,0.09761261398153011,0.0927535165572444,0.08474534862448041,0.10240774513694413,0.11443191382250469,0.08914806134339305,0.09067287622277473,0.0837124992728729,0.08247689848186347,0.10212885129756488,0.10689219575134044
07-01,0.0760069182757294,0.04069219820070402,0.05476397794467682,0.060617767450791026,0.09344487662861838,0.0885047814347458,0.08411520284723574,0.08578893543616412,0.09243973517531012,0.10928482358169257,0.09325824874462744,0.07573429111773203,0.07831587729058707,0.07672925831734889,0.09832473647827769,0.10338120295194693
07-06,0.06586763545212157,0.03667009438700267,0.05057586703879842,0.054371682777516875,0.08619705209067237,0.079971468271405,0.0763110192223184,0.08827978762916712,0.08363115196472058,0.10427391312545035,0.0995556824077539,0.0628124069946138,0.07449690438767652,0.0728465877038567,0.09591261846183327,0.10068780990902017
07-11,0.05633060920837148,0.03594483991504325,0.048962679030437495,0.05104363092239592,0.07947587855878963,0.07234459689601652,0.07132784984905768,0.094073428762318,0.07772106793825614,0.10246165648953381,0.10755786319923288,0.053403785679941945,0.07370242198668361,0.07214846381187497,0.09648611693635017,0.10020629247737645
07-16,0.04527837660952148,0.032666514352805,0.04704393440480905,0.04740939117978257,0.07314775497951972,0.06379969148434225,0.06563690719862877,0.09994096899501483,0.07081473945666328,0.10272946698399205,0.1119270098762858,0.0447305790362834,0.07264357886007312,0.07084664392267775,0.09567733555491742,0.09859861496075956
07-21,0.0374674534810345,0.03031046140449655,0.0450301193707432,0.04436327200836912,0.06664745754328777,0.05692882335851032,0.060028488013955,0.10376519126449492,0.06291344202676823,0.10204630234661062,0.11586494772136573,0.039196008542515426,0.07214187682616788,0.06898426281523806,0.09522597600827,0.09673303919879708
07-26,0.03264605217237637,0.02911264601767625,0.04269518108773375,0.04114677221111655,0.059783076971279325,0.0506648725760778,0.054698163118432175,0.10487986464261874,0.05540966407854576,0.09842419663497055,0.11862245820336365,0.036217585132750696,0.07214838801192763,0.0669959040987749,0.09538323932669585,0.09487663539433094
07-31,0.030201997401214327,0.028883984045686477,0.04102339347282867,0.03894002843073275,0.0529819550060177,0.0464494680161913,0.050426603885804056,0.10330452377564725,0.0494906422584203,0.09092791399319076,0.11874682073260137,0.03556665778388455,0.07214063510189028,0.0647305007925905,0.09556581654738594,0.09304008301589634
08-05,0.029551400885216576,0.029531786547428877,0.0403085228800953,0.037979240996335595,0.047661829548236403,0.04411473418334052,0.047782398018542775,0.09998550208194032,0.04536592350311882,0.0810102547106961,0.115660135420531,0.036990680621340526,0.0712824767340268,0.06258321350842777,0.09517334416194966,0.0908966137229629
08-10,0.02935378538489808,0.030223877839658825,0.03981261489757568,0.037458448164059355,0.044601672614420426,0.04243831215944015,0.0462554202099341,0.09580627260292712,0.042140269070174825,0.07119057425390694,0.11195993394550156,0.039264715523602695,0.07011722704811862,0.06122434600650915,0.09432114724332932,0.0886018747053378
08-15,0.029534314755281173,0.0307927115095224,0.03894271819600935,0.03691749061497995,0.042859766143474726,0.04116489461037702,0.04517273462938685,0.09215252475405863,0.0397059740375713,0.06335716847324638,0.11039415097752409,0.042219757212881126,0.06934128785722293,0.06061454029720115,0.0930773838783637,0.08685272425496957
08-20,0.0297821053906865,0.03158273269805935,0.038926047550667926,0.0370034362592728,0.04142790965195092,0.040500591870480926,0.044988470393785895,0.08984754438796219,0.03878347949965283,0.05781586296621863,0.11170316111331623,0.04553287305561887,0.0698162032485643,0.061305217311906426,0.09339197422186912,0.08726686395298537
08-25,0.029622456884733875,0.0325202407512272,0.04035319648103668,0.037931048379194275,0.03918004823285855,0.0402250448734192,0.045360975590331226,0.08812947527482681,0.0392802224386601,0.053142316007563174,0.11400862005369834,0.04745092808990325,0.07141360337100458,0.06355305932185006,0.09520272020551165,0.0888994595580618
08-30,0.03002078780648355,0.034494902758258256,0.043561216215105954,0.040252177392651474,0.0372267817073094,0.040955939314067026,0.04674410634792963,0.08535298281645698,0.0408962008175989,0.04917057016667045,0.11419718064745757,0.04719274917031388,0.07281821622652605,0.06674247905842864,0.0974128867945374,0.0900653630913637
09-04,0.0306144946687706,0.03727341476198665,0.0484434108671358,0.04359673331181828,0.0369983698327207,0.04200054466230073,0.0485515393418479,0.08158048061591427,0.04318465107672957,0.04614037878780407,0.11328251282862897,0.045019440203486374,0.07415879864573524,0.0700716290348011,0.098652750947627,0.09028270261712705
09-09,0.028985395090045496,0.03851740026383003,0.05063566617730547,0.0441986872670454,0.0357699332256263,0.04070899270991947,0.04760335787200885,0.07775054250072472,0.04206009713210888,0.041390578491314854,0.11182734305985637,0.039081907736485774,0.07420835080353508,0.07168745522008492,0.0980139804821352,0.08812744865642293
09-14,0.0283524916742124,0.04153752758206852,0.052487091567222394,0.0449942245130847,0.03472114632013825,0.03992077486615603,0.0462301479487375,0.07206756139372815,0.040457778310497024,0.036224184814937804,0.10805657018204315,0.032808801100947575,0.07340724917278678,0.07234183584189173,0.09691687416976297,0.08675721661911702
09-19,0.0287333559050388,0.04597215341026765,0.05482990861079233,0.04661338151074053,0.03456684755927905,0.041281667268198124,0.0453398017549886,0.06306445043823587,0.039997203033146404,0.0325946804632907,0.10072885066126118,0.028512593148148923,0.07102378443614646,0.07181577319979993,0.09586245246691052,0.08654004914931718
09-24,0.03137773366268243,0.05436492506537735,0.058641473147902926,0.05105942199015673,0.03586039420665515,0.044865485936960596,0.04621268037929242,0.055091808150777376,0.0420996432660689,0.03163107664096668,0.098338038552822,0.02722267825026135,0.07222036002379345,0.07334418419657635,0.09733678767334458,0.0873381925145916
09-29,0.03615606548757758,0.06438084304512612,0.0640237175475819,0.057294552990911976,0.03931462330838158,0.051383293125288526,0.049712392756597126,0.04927545835835292,0.04663954101621138,0.034130849941792454,0.09356087290143572,0.0296127815233911,0.0748006049256444,0.07618991833574765,0.09886579649128413,0.08847602651423395
10-04,0.0414063331932,0.07486347531494555,0.0683674529807666,0.06299932756620832,0.044234603825662425,0.058042206126316984,0.05315685860088877,0.04413338757119083,0.05110568380388958,0.03665377600250188,0.08645331030956374,0.03268425308690502,0.07661858764784304,0.07820279924532175,0.09939036157193952,0.0888918640108575
10-09,0.0460655465552556,0.08277364960841557,0.06994568209100892,0.06617700378878258,0.04848750188688127,0.06294603636398903,0.05504758866421378,0.040900848570382724,0.0531394448343004,0.03753537399940475,0.08001623908217448,0.034852341397011974,0.07706138331475333,0.07878690843268027,0.09822193452502037,0.0875140703570767
10-14,0.0511219228589273,0.08845548303595183,0.0713283742465953,0.0693935262801263,0.053580656777104524,0.06772639683064574,0.0575488118903611,0.041775096190624875,0.05562843962554475,0.039734095359431953,0.07521718094333606,0.037940316738153575,0.07741617980379548,0.07908219659934768,0.09653135623597063,0.0868926188492646
10-19,0.05617002913750388,0.09277483230787383,0.07281051152783008,0.07256362786200556,0.0580833145332904,0.07210710040983123,0.060347935267911296,0.044835562653929975,0.058627009747457146,0.042465688872303974,0.07090863945765467,0.041280772611461396,0.07726611044091505,0.07905356091503712,0.09460258316734134,0.08556040731752755
10-24,0.061555804101513754,0.09663934574071033,0.07490442624828712,0.0760055815150369,0.06242238611293435,0.07635156254545421,0.06312748857061593,0.04863475116806872,0.062370700924299895,0.04534053796671038,0.06787395099397192,0.04518328314693057,0.0768853053788674,0.07899776275480924,0.09304996699766181,0.08397285304976576
